lat,long,lake,subbasin
41.6384,-83.2237,ER,0
41.6382,-83.2358,ER,0
41.6473,-83.2360,ER,0
41.6471,-83.2481,ER,0
41.6469,-83.2602,ER,0
41.6560,-83.2604,ER,0
41.6558,-83.2725,ER,0
41.6649,-83.2727,ER,0
41.6647,-83.2848,ER,0
41.6737,-83.2851,ER,0
41.6736,-83.2972,ER,0
41.6645,-83.2969,ER,0
41.6644,-83.3090,ER,0
41.6734,-83.3093,ER,0
41.6732,-83.3214,ER,0
41.6823,-83.3216,ER,0
41.6913,-83.3218,ER,0
41.6911,-83.3339,ER,0
41.7002,-83.3341,ER,0
41.7000,-83.3462,ER,0
41.6910,-83.3460,ER,0
41.6908,-83.3581,ER,0
41.6818,-83.3579,ER,0
41.6816,-83.3700,ER,0
41.6814,-83.3821,ER,0
41.6813,-83.3942,ER,0
41.6811,-83.4063,ER,0
41.6901,-83.4065,ER,0
41.6899,-83.4186,ER,0
41.6898,-83.4307,ER,0
41.6896,-83.4428,ER,0
41.6894,-83.4549,ER,0
41.6892,-83.4670,ER,0
41.6890,-83.4791,ER,0
41.6981,-83.4794,ER,0
41.7071,-83.4796,ER,0
41.7162,-83.4799,ER,0
41.7163,-83.4678,ER,0
41.7254,-83.4680,ER,0
41.7256,-83.4559,ER,0
41.7346,-83.4561,ER,0
41.7344,-83.4683,ER,0
41.7254,-83.4680,ER,0
41.7252,-83.4801,ER,0
41.7342,-83.4804,ER,0
41.7433,-83.4806,ER,0
41.7523,-83.4809,ER,0
41.7613,-83.4811,ER,0
41.7615,-83.4690,ER,0
41.7525,-83.4687,ER,0
41.7527,-83.4566,ER,0
41.7617,-83.4569,ER,0
41.7707,-83.4571,ER,0
41.7706,-83.4692,ER,0
41.7796,-83.4695,ER,0
41.7798,-83.4574,ER,0
41.7709,-83.4450,ER,0
41.7706,-83.4692,ER,0
41.7796,-83.4695,ER,0
41.7798,-83.4574,ER,0
41.7707,-83.4571,ER,0
41.7709,-83.4450,ER,0
41.7619,-83.4448,ER,0
41.7528,-83.4445,ER,0
41.7438,-83.4443,ER,0
41.7348,-83.4440,ER,0
41.7349,-83.4319,ER,0
41.7440,-83.4322,ER,0
41.7530,-83.4324,ER,0
41.7621,-83.4326,ER,0
41.7711,-83.4329,ER,0
41.7709,-83.4450,ER,0
41.7799,-83.4452,ER,0
41.7890,-83.4455,ER,0
41.7888,-83.4576,ER,0
41.7978,-83.4578,ER,0
41.7980,-83.4457,ER,0
41.8071,-83.4460,ER,0
41.8161,-83.4462,ER,0
41.8163,-83.4341,ER,0
41.8164,-83.4219,ER,0
41.8255,-83.4222,ER,0
41.8345,-83.4224,ER,0
41.8347,-83.4103,ER,0
41.8437,-83.4105,ER,0
41.8528,-83.4108,ER,0
41.8529,-83.3986,ER,0
41.8620,-83.3989,ER,0
41.8622,-83.3867,ER,0
41.8712,-83.3870,ER,0
41.8714,-83.3748,ER,0
41.8715,-83.3627,ER,0
41.8806,-83.3629,ER,0
41.8804,-83.3750,ER,0
41.8894,-83.3753,ER,0
