lat,long,subbasin
44.9749,-80.9578,0a
44.975,-80.9706,0a
44.966,-80.9707,0a
44.966,-80.9835,0a
44.9751,-80.9834,0a
44.9752,-80.9961,0a
44.9752,-81.0089,0a
44.9662,-81.009,0a
44.9663,-81.0218,0a
44.9573,-81.0219,0a
44.9482,-81.022,0a
44.9392,-81.0221,0a
44.9391,-81.0094,0a
44.9301,-81.0095,0a
44.9302,-81.0222,0a
44.9212,-81.0224,0a
44.9213,-81.0351,0a
44.9122,-81.0352,0a
44.9032,-81.0353,0a
44.9033,-81.0481,0a
44.9034,-81.0608,0a
44.9124,-81.0607,0a
44.9214,-81.0606,0a
44.9304,-81.0605,0a
44.9305,-81.0732,0a
44.9306,-81.086,0a
44.9216,-81.0861,0a
44.9217,-81.0989,0a
44.9126,-81.099,0a
44.9127,-81.1117,0a
44.9128,-81.1245,0a
44.9218,-81.1244,0a
44.9217,-81.1116,0a
44.9308,-81.1115,0a
44.9307,-81.0988,0a
44.9397,-81.0986,0a
44.9487,-81.0985,0a
44.9487,-81.0858,0a
44.9577,-81.0857,0a
44.9667,-81.0856,0a
44.9668,-81.0983,0a
44.9669,-81.1111,0a
44.9669,-81.1238,0a
44.967,-81.1366,0a
44.9671,-81.1494,0a
44.9672,-81.1621,0a
44.9672,-81.1749,0a
44.9673,-81.1876,0a
44.9763,-81.1875,0a
44.9854,-81.1875,0a
44.9853,-81.1747,0a
44.9943,-81.1746,0a
45.0033,-81.1745,0a
45.0124,-81.1744,0a
45.0124,-81.1872,0a
45.0125,-81.1999,0a
45.0126,-81.2127,0a
45.0035,-81.2128,0a
45.0036,-81.2256,0a
45.0037,-81.2383,0a
45.0127,-81.2382,0a
45.0217,-81.2382,0a
45.0218,-81.2509,0a
45.0308,-81.2508,0a
45.0398,-81.2508,0a
45.0398,-81.238,0a
45.0488,-81.2379,0a
45.0578,-81.2378,0a
45.0669,-81.2377,0a
45.0759,-81.2376,0a
45.0849,-81.2376,0a
45.0939,-81.2375,0a
45.103,-81.2374,0a
45.103,-81.2502,0a
45.1121,-81.2501,0a
45.1211,-81.25,0a
45.1211,-81.2628,0a
45.1302,-81.2627,0a
45.1302,-81.2755,0a
45.1303,-81.2883,0a
45.1303,-81.3011,0a
45.1394,-81.301,0a
45.1394,-81.3138,0a
45.1485,-81.3137,0a
45.1575,-81.3137,0a
45.1665,-81.3136,0a
45.1755,-81.3135,0a
45.1846,-81.3134,0a
45.1936,-81.3134,0a
45.2026,-81.3133,0a
45.2026,-81.3005,0a
45.2116,-81.3004,0a
45.2115,-81.2876,0a
45.2206,-81.2875,0a
45.2205,-81.2747,0a
45.2295,-81.2746,0a
45.2295,-81.2618,0a
45.2385,-81.2617,0a
45.2475,-81.2616,0a
45.2566,-81.2615,0a
45.2566,-81.2744,0a
45.2567,-81.2872,0a
45.2567,-81.3,0a
45.2477,-81.3001,0a
45.2478,-81.3129,0a
45.2478,-81.3257,0a
45.2479,-81.3386,0a
45.2479,-81.3514,0a
45.248,-81.3642,0a
45.248,-81.377,0a
45.2481,-81.3899,0a
45.239,-81.3899,0a
45.2391,-81.4027,0a
45.2391,-81.4156,0a
45.2392,-81.4284,0a
45.2392,-81.4412,0a
45.2392,-81.454,0a
45.2483,-81.454,0a
45.2483,-81.4668,0a
45.2483,-81.4796,0a
45.2484,-81.4924,0a
45.2484,-81.5053,0a
45.2574,-81.5052,0a
45.2575,-81.518,0a
45.2575,-81.5309,0a
45.2485,-81.5309,0a
45.2485,-81.5437,0a
45.2485,-81.5566,0a
45.2575,-81.5565,0a
45.2576,-81.5693,0a
45.2576,-81.5822,0a
45.2576,-81.595,0a
45.2576,-81.6078,0a
45.2577,-81.6207,0a
45.2667,-81.6206,0a
45.2757,-81.6206,0a
45.2757,-81.6334,0a
45.2667,-81.6335,0a
45.2667,-81.6463,0a
45.2667,-81.6591,0a
45.2668,-81.6719,0a
45.2577,-81.672,0a
45.2487,-81.672,0a
45.2397,-81.672,0a
45.2397,-81.6848,0a
45.2397,-81.6976,0a
45.2397,-81.7105,0a
45.2487,-81.7104,0a
45.2487,-81.7233,0a
45.2578,-81.7233,0a
45.2578,-81.7361,0a
45.2668,-81.7361,0a
45.2758,-81.7361,0a
45.2849,-81.7361,0a
45.2939,-81.7361,0a
45.3029,-81.736,0a
45.3119,-81.736,0a
45.321,-81.736,0a
45.33,-81.736,0a
45.339,-81.736,0a
45.3481,-81.736,0a
45.3571,-81.736,0a
45.3661,-81.736,0a
45.3751,-81.736,0a
45.3842,-81.736,0a
45.3932,-81.736,0a
45.4022,-81.7359,0a
45.4113,-81.7359,0a
45.4203,-81.7359,0a
45.4203,-81.7488,0a
45.4293,-81.7488,0a
45.4293,-81.7617,0a
45.4384,-81.7616,0a
45.4384,-81.7745,0a
45.4474,-81.7745,0a
45.4564,-81.7745,0a
45.4564,-81.7616,0a
45.4654,-81.7616,0a
45.4654,-81.7488,0a
45.4745,-81.7488,0a
45.4745,-81.7359,0a
45.4744,-81.723,0a
45.4835,-81.723,0a
45.4835,-81.7101,0a
45.4925,-81.7101,0a
45.4925,-81.6972,0a
45.5015,-81.6972,0a
45.5105,-81.6972,0a
45.5196,-81.6972,0a
45.5196,-81.6843,0a
45.5286,-81.6843,0a
45.5376,-81.6843,0a
45.5376,-81.6971,0a
45.5376,-81.71,0a
45.5286,-81.7101,0a
45.5286,-81.7229,0a
45.5286,-81.7358,0a
45.5286,-81.7487,0a
45.5196,-81.7487,0a
45.5196,-81.7616,0a
45.5196,-81.7745,0a
45.5196,-81.7874,0a
45.5286,-81.7874,0a
45.5377,-81.7874,0a
45.5377,-81.7745,0a
45.5467,-81.7745,0a
45.5557,-81.7745,0a
45.5557,-81.7616,0a
