lat,long,subbasin
46.9083,-88.114,0a
46.9082,-88.1272,0a
46.9082,-88.1404,0a
46.9082,-88.1536,0a
46.9081,-88.1667,0a
46.9081,-88.1799,0a
46.8991,-88.1799,0a
46.899,-88.193,0a
46.89,-88.193,0a
46.89,-88.2061,0a
46.881,-88.2061,0a
46.881,-88.2193,0a
46.872,-88.2192,0a
46.863,-88.2191,0a
46.8629,-88.2323,0a
46.8539,-88.2322,0a
46.8539,-88.2454,0a
46.8449,-88.2453,0a
46.8448,-88.2585,0a
46.8358,-88.2584,0a
46.8358,-88.2716,0a
46.8448,-88.2716,0a
46.8538,-88.2586,0a
46.8358,-88.2584,0a
46.8358,-88.2716,0a
46.8448,-88.2716,0a
46.8448,-88.2585,0a
46.8538,-88.2586,0a
46.8628,-88.2586,0a
46.8718,-88.2587,0a
46.8719,-88.2455,0a
46.8809,-88.2456,0a
46.8899,-88.2457,0a
46.8899,-88.2325,0a
46.8989,-88.2326,0a
46.899,-88.2194,0a
46.908,-88.2194,0a
46.908,-88.2063,0a
46.908,-88.1931,0a
46.917,-88.1931,0a
46.9171,-88.18,0a
46.9261,-88.18,0a
46.9261,-88.1668,0a
46.9351,-88.1669,0a
46.9352,-88.1537,0a
46.9442,-88.1538,0a
46.9442,-88.1406,0a
46.9532,-88.1406,0a
46.9622,-88.1407,0a
46.9622,-88.1539,0a
46.9621,-88.1671,0a
46.9531,-88.167,0a
46.9531,-88.1802,0a
46.9531,-88.1934,0a
46.9441,-88.1933,0a
46.944,-88.2065,0a
46.935,-88.2064,0a
46.935,-88.2196,0a
46.926,-88.2196,0a
46.9259,-88.2327,0a
46.9259,-88.2459,0a
46.9169,-88.2459,0a
46.9168,-88.259,0a
46.9168,-88.2722,0a
46.9078,-88.2721,0a
46.9077,-88.2853,0a
46.8987,-88.2852,0a
46.8987,-88.2984,0a
46.8897,-88.2983,0a
46.8896,-88.3115,0a
46.8806,-88.3114,0a
46.8806,-88.3246,0a
46.8716,-88.3245,0a
46.8715,-88.3377,0a
46.8625,-88.3376,0a
46.8625,-88.3508,0a
46.8624,-88.3639,0a
46.8714,-88.364,0a
46.8713,-88.3772,0a
46.8623,-88.3771,0a
46.8623,-88.3903,0a
46.8533,-88.3902,0a
46.8532,-88.4033,0a
46.8442,-88.4033,0a
46.8443,-88.3901,0a
46.8353,-88.39,0a
46.8263,-88.3899,0a
46.8173,-88.3898,0a
46.8172,-88.403,0a
46.8082,-88.4029,0a
46.8081,-88.416,0a
46.7991,-88.4159,0a
46.7991,-88.4291,0a
46.7901,-88.429,0a
46.79,-88.4421,0a
46.781,-88.442,0a
46.7809,-88.4552,0a
46.7899,-88.4553,0a
46.7989,-88.4554,0a
46.8079,-88.4555,0a
46.8079,-88.4686,0a
46.8169,-88.4687,0a
46.8259,-88.4688,0a
46.8349,-88.4689,0a
46.8439,-88.469,0a
46.8529,-88.4692,0a
46.8619,-88.4693,0a
46.8709,-88.4694,0a
46.8799,-88.4695,0a
46.8889,-88.4696,0a
46.8979,-88.4697,0a
46.898,-88.4565,0a
46.907,-88.4566,0a
46.916,-88.4567,0a
46.925,-88.4568,0a
46.925,-88.4436,0a
46.934,-88.4437,0a
46.943,-88.4438,0a
46.952,-88.4439,0a
46.961,-88.444,0a
46.97,-88.4441,0a
46.979,-88.4442,0a
46.9791,-88.431,0a
46.9792,-88.4178,0a
46.9792,-88.4046,0a
46.9882,-88.4047,0a
46.9883,-88.3915,0a
46.9973,-88.3916,0a
46.9974,-88.3784,0a
47.0064,-88.3785,0a
47.0064,-88.3653,0a
47.0154,-88.3654,0a
47.0244,-88.3655,0a
47.0334,-88.3656,0a
47.0335,-88.3524,0a
47.0425,-88.3525,0a
47.0515,-88.3526,0a
47.0605,-88.3526,0a
47.0695,-88.3527,0a
47.0695,-88.3395,0a
47.0785,-88.3396,0a
47.0786,-88.3264,0a
47.0787,-88.3132,0a
47.0877,-88.3132,0a
47.0877,-88.3,0a
47.0967,-88.3001,0a
47.1057,-88.3002,0a
47.1058,-88.2869,0a
47.1148,-88.287,0a
47.1238,-88.2871,0a
47.1238,-88.2739,0a
47.1328,-88.2739,0a
47.1418,-88.274,0a
47.1419,-88.2608,0a
47.1329,-88.2607,0a
47.1329,-88.2475,0a
47.133,-88.2342,0a
47.142,-88.2343,0a
47.151,-88.2344,0a
47.16,-88.2344,0a
47.169,-88.2345,0a
47.178,-88.2346,0a
47.187,-88.2346,0a
47.187,-88.2214,0a
47.196,-88.2214,0a
47.205,-88.2215,0a
47.205,-88.2083,0a
47.2051,-88.195,0a
47.2051,-88.1818,0a
47.2052,-88.1685,0a
47.2142,-88.1686,0a
47.2142,-88.1553,0a
47.2232,-88.1554,0a
47.2232,-88.1421,0a
47.2322,-88.1422,0a
47.2323,-88.1289,0a
47.2413,-88.1289,0a
47.2413,-88.1157,0a
47.2503,-88.1157,0a
47.2503,-88.1025,0a
47.2593,-88.1025,0a
47.2594,-88.0893,0a
47.2684,-88.0893,0a
47.2684,-88.076,0a
47.2774,-88.0761,0a
47.2774,-88.0628,0a
47.2864,-88.0628,0a
47.2864,-88.0496,0a
47.2954,-88.0496,0a
47.2955,-88.0363,0a
47.2955,-88.0231,0a
47.3045,-88.0231,0a
47.3045,-88.0098,0a
47.3045,-87.9965,0a
47.3135,-87.9966,0a
47.3135,-87.9833,0a
47.3136,-87.97,0a
47.3226,-87.97,0a
47.3226,-87.9568,0a
47.3316,-87.9568,0a
47.3316,-87.9435,0a
47.3406,-87.9435,0a
47.3496,-87.9435,0a
47.3586,-87.9435,0a
47.3586,-87.9568,0a
47.3676,-87.9568,0a
47.3766,-87.9569,0a
47.3856,-87.9569,0a
47.3856,-87.9436,0a
47.3856,-87.9303,0a
47.3856,-87.917,0a
47.3856,-87.9037,0a
47.3856,-87.8904,0a
47.3856,-87.8771,0a
47.3946,-87.8771,0a
47.3946,-87.8638,0a
47.3946,-87.8505,0a
47.3856,-87.8505,0a
47.3856,-87.8372,0a
47.3856,-87.8239,0a
47.3766,-87.8239,0a
47.3766,-87.8106,0a
47.3856,-87.8106,0a
47.3856,-87.7973,0a
47.3856,-87.784,0a
47.3856,-87.7708,0a
47.3856,-87.7575,0a
47.3946,-87.7574,0a
47.3946,-87.7441,0a
47.3946,-87.7308,0a
47.3946,-87.7175,0a
47.3945,-87.7043,0a
47.4035,-87.7042,0a
47.4125,-87.7042,0a
47.4215,-87.7042,0a
47.4305,-87.7042,0a
47.4306,-87.7175,0a
47.4396,-87.7174,0a
47.4396,-87.7307,0a
47.4486,-87.7307,0a
47.4486,-87.744,0a
47.4576,-87.744,0a
47.4576,-87.7573,0a
47.4576,-87.7706,0a
47.4576,-87.784,0a
47.4666,-87.7839,0a
47.4666,-87.7973,0a
47.4666,-87.8106,0a
47.4666,-87.8239,0a
47.4666,-87.8372,0a
47.4666,-87.8505,0a
47.4666,-87.8638,0a
47.4666,-87.8772,0a
47.4666,-87.8905,0a
47.4666,-87.9038,0a
47.4756,-87.9038,0a
47.4756,-87.9171,0a
47.4756,-87.9304,0a
47.4756,-87.9437,0a
47.4756,-87.9571,0a
47.4756,-87.9704,0a
47.4756,-87.9837,0a
47.4756,-87.997,0a
47.4666,-87.997,0a
47.4665,-88.0103,0a
47.4665,-88.0236,0a
47.4665,-88.0369,0a
47.4665,-88.0503,0a
47.4664,-88.0636,0a
47.4574,-88.0635,0a
47.4574,-88.0768,0a
47.4574,-88.0902,0a
47.4574,-88.1035,0a
47.4573,-88.1168,0a
47.4573,-88.1301,0a
47.4573,-88.1434,0a
47.4483,-88.1434,0a
47.4482,-88.1567,0a
47.4482,-88.17,0a
47.4482,-88.1833,0a
47.4481,-88.1966,0a
47.4481,-88.2099,0a
47.4391,-88.2098,0a
47.4301,-88.2098,0a
47.43,-88.2231,0a
47.43,-88.2364,0a
47.421,-88.2363,0a
47.4209,-88.2496,0a
47.4209,-88.2629,0a
47.4208,-88.2762,0a
47.4208,-88.2895,0a
47.4118,-88.2895,0a
47.4117,-88.3028,0a
47.4027,-88.3027,0a
47.4027,-88.316,0a
47.3937,-88.3159,0a
47.3936,-88.3292,0a
47.3936,-88.3425,0a
47.3846,-88.3424,0a
47.3845,-88.3557,0a
47.3845,-88.369,0a
47.3844,-88.3823,0a
47.3754,-88.3822,0a
47.3753,-88.3955,0a
47.3753,-88.4088,0a
47.3663,-88.4087,0a
47.3662,-88.422,0a
47.3572,-88.4219,0a
47.3571,-88.4352,0a
47.3481,-88.4351,0a
47.3481,-88.4484,0a
47.3391,-88.4483,0a
47.339,-88.4615,0a
47.33,-88.4614,0a
47.321,-88.4613,0a
47.3209,-88.4746,0a
47.3119,-88.4745,0a
47.3119,-88.4878,0a
47.3029,-88.4877,0a
47.2939,-88.4876,0a
47.2938,-88.5008,0a
47.2848,-88.5007,0a
47.2847,-88.514,0a
47.2757,-88.5139,0a
47.2756,-88.5272,0a
47.2666,-88.527,0a
47.2665,-88.5403,0a
47.2575,-88.5402,0a
47.2575,-88.5534,0a
47.2485,-88.5533,0a
47.2484,-88.5666,0a
47.2394,-88.5665,0a
47.2393,-88.5797,0a
47.2303,-88.5796,0a
47.2302,-88.5929,0a
47.2301,-88.6061,0a
47.2211,-88.606,0a
47.221,-88.6192,0a
47.2209,-88.6325,0a
47.2209,-88.6457,0a
47.2208,-88.659,0a
47.2118,-88.6589,0a
47.2117,-88.6721,0a
47.2116,-88.6854,0a
47.2026,-88.6852,0a
47.2025,-88.6985,0a
47.1935,-88.6983,0a
47.1934,-88.7116,0a
47.1844,-88.7114,0a
47.1843,-88.7247,0a
47.1753,-88.7245,0a
47.1752,-88.7378,0a
47.1662,-88.7376,0a
47.1661,-88.7508,0a
47.1571,-88.7507,0a
47.157,-88.7639,0a
47.148,-88.7638,0a
47.1479,-88.777,0a
47.1477,-88.7902,0a
47.1387,-88.7901,0a
47.1386,-88.8033,0a
47.1385,-88.8165,0a
47.1295,-88.8164,0a
47.1294,-88.8296,0a
47.1204,-88.8294,0a
47.1114,-88.8293,0a
47.1113,-88.8425,0a
47.1112,-88.8557,0a
47.1022,-88.8556,0a
47.1021,-88.8688,0a
47.102,-88.882,0a
47.093,-88.8818,0a
47.0928,-88.8951,0a
47.0838,-88.8949,0a
47.0837,-88.9081,0a
47.0747,-88.9079,0a
47.0657,-88.9077,0a
47.0567,-88.9076,0a
47.0477,-88.9074,0a
47.0476,-88.9206,0a
47.0386,-88.9204,0a
47.0385,-88.9336,0a
47.0295,-88.9334,0a
47.0205,-88.9332,0a
47.0203,-88.9465,0a
47.0113,-88.9463,0a
47.0112,-88.9595,0a
47.0022,-88.9593,0a
47.0021,-88.9725,0a
47.002,-88.9857,0a
47.0018,-88.9989,0a
47.0017,-89.0121,0a
46.9927,-89.0119,0a
46.9926,-89.0251,0a
46.9924,-89.0383,0a
46.9923,-89.0515,0a
46.9833,-89.0513,0a
46.9832,-89.0645,0a
46.983,-89.0776,0a
46.9829,-89.0908,0a
46.9827,-89.104,0a
46.9826,-89.1172,0a
46.9916,-89.1174,0a
46.9914,-89.1306,0a
46.9824,-89.1304,0a
46.9823,-89.1436,0a
46.9733,-89.1434,0a
46.9643,-89.1432,0a
46.9641,-89.1564,0a
46.9551,-89.1561,0a
46.955,-89.1693,0a
46.9548,-89.1825,0a
46.9458,-89.1823,0a
46.9368,-89.1821,0a
46.9367,-89.1952,0a
46.9277,-89.195,0a
46.9275,-89.2082,0a
46.9185,-89.208,0a
46.9095,-89.2077,0a
46.9094,-89.2209,0a
46.9092,-89.2341,0a
46.9002,-89.2339,0a
46.9001,-89.247,0a
46.8999,-89.2602,0a
46.8909,-89.26,0a
46.8907,-89.2731,0a
46.8906,-89.2863,0a
46.8816,-89.2861,0a
46.8814,-89.2992,0a
46.8812,-89.3124,0a
46.8722,-89.3122,0a
46.8632,-89.3119,0a
46.8631,-89.3251,0a
46.8721,-89.3253,0a
46.8719,-89.3385,0a
46.8629,-89.3382,0a
46.8627,-89.3514,0a
46.8626,-89.3646,0a
46.8536,-89.3643,0a
46.8534,-89.3775,0a
46.8532,-89.3906,0a
46.8442,-89.3904,0a
46.844,-89.4035,0a
46.8439,-89.4167,0a
46.8437,-89.4298,0a
46.8347,-89.4296,0a
46.8345,-89.4427,0a
46.8343,-89.4559,0a
46.8341,-89.469,0a
46.8339,-89.4822,0a
46.8338,-89.4953,0a
46.8428,-89.4956,0a
46.8426,-89.5088,0a
46.8336,-89.5085,0a
46.8334,-89.5217,0a
46.8332,-89.5348,0a
46.833,-89.548,0a
46.8328,-89.5611,0a
46.8326,-89.5743,0a
46.8236,-89.574,0a
46.8234,-89.5871,0a
46.8232,-89.6003,0a
46.823,-89.6134,0a
46.8228,-89.6266,0a
46.8226,-89.6397,0a
46.8224,-89.6529,0a
46.8222,-89.666,0a
46.822,-89.6792,0a
46.8218,-89.6924,0a
46.8216,-89.7055,0a
46.8213,-89.7187,0a
46.8211,-89.7318,0a
46.8209,-89.745,0a
46.8207,-89.7581,0a
46.8205,-89.7713,0a
46.8203,-89.7844,0a
46.8113,-89.7841,0a
46.811,-89.7972,0a
46.8108,-89.8104,0a
46.8018,-89.8101,0a
46.8016,-89.8232,0a
46.8014,-89.8363,0a
46.7924,-89.836,0a
46.7921,-89.8492,0a
46.7919,-89.8623,0a
46.7829,-89.862,0a
46.7739,-89.8616,0a
46.7737,-89.8748,0a
46.7647,-89.8744,0a
46.7645,-89.8876,0a
46.7555,-89.8872,0a
46.7552,-89.9004,0a
46.7462,-89.9,0a
46.746,-89.9131,0a
46.737,-89.9128,0a
46.7368,-89.9259,0a
46.7278,-89.9256,0a
46.7275,-89.9387,0a
46.7185,-89.9384,0a
46.7183,-89.9515,0a
46.7093,-89.9511,0a
46.7091,-89.9643,0a
46.7088,-89.9774,0a
46.6998,-89.977,0a
46.6996,-89.9901,0a
46.6906,-89.9898,0a
46.6903,-90.0029,0a
46.6813,-90.0025,0a
46.6811,-90.0157,0a
46.6721,-90.0153,0a
46.6719,-90.0284,0a
46.6629,-90.0281,0a
46.6626,-90.0412,0a
46.6624,-90.0543,0a
46.6621,-90.0674,0a
46.6619,-90.0805,0a
46.6529,-90.0801,0a
46.6526,-90.0932,0a
46.6523,-90.1063,0a
46.6521,-90.1195,0a
46.6518,-90.1326,0a
46.6428,-90.1322,0a
46.6426,-90.1453,0a
46.6423,-90.1584,0a
46.642,-90.1715,0a
46.6331,-90.1711,0a
46.6328,-90.1842,0a
46.6325,-90.1973,0a
46.6322,-90.2104,0a
46.6233,-90.21,0a
46.623,-90.2231,0a
46.6227,-90.2362,0a
46.6137,-90.2358,0a
46.6134,-90.2489,0a
46.6132,-90.262,0a
46.6129,-90.2751,0a
46.6126,-90.2882,0a
46.6036,-90.2878,0a
46.6033,-90.3009,0a
46.6031,-90.314,0a
46.6028,-90.3271,0a
46.6025,-90.3402,0a
46.5935,-90.3398,0a
46.5932,-90.3529,0a
46.5929,-90.366,0a
46.5839,-90.3656,0a
46.5837,-90.3786,0a
46.5747,-90.3782,0a
46.5744,-90.3913,0a
46.5654,-90.3909,0a
46.5651,-90.404,0a
46.5648,-90.4171,0a
46.5645,-90.4301,0a
46.5642,-90.4432,0a
46.5639,-90.4563,0a
46.5729,-90.4567,0a
46.5726,-90.4698,0a
46.5723,-90.4829,0a
46.5813,-90.4834,0a
46.581,-90.4964,0a
46.5807,-90.5095,0a
46.5804,-90.5226,0a
46.5714,-90.5222,0a
46.5711,-90.5353,0a
46.5708,-90.5484,0a
46.5798,-90.5488,0a
46.5795,-90.5619,0a
46.5885,-90.5623,0a
46.5882,-90.5754,0a
46.5971,-90.5759,0a
46.5968,-90.589,0a
46.6058,-90.5894,0a
46.6055,-90.6025,0a
46.6145,-90.603,0a
46.6142,-90.6161,0a
46.6232,-90.6165,0a
46.6229,-90.6296,0a
46.6225,-90.6427,0a
46.6315,-90.6432,0a
46.6312,-90.6563,0a
46.6402,-90.6568,0a
46.6399,-90.6699,0a
46.6489,-90.6703,0a
46.6486,-90.6834,0a
46.6575,-90.6839,0a
46.6572,-90.697,0a
46.6662,-90.6975,0a
46.6659,-90.7106,0a
46.6749,-90.7111,0a
46.6745,-90.7242,0a
46.6835,-90.7247,0a
46.6832,-90.7378,0a
46.6742,-90.7373,0a
46.6745,-90.7242,0a
46.6656,-90.7237,0a
46.6652,-90.7368,0a
46.6562,-90.7363,0a
46.6566,-90.7232,0a
46.6569,-90.7101,0a
46.6572,-90.697,0a
46.6482,-90.6965,0a
46.6479,-90.7096,0a
46.6476,-90.7228,0a
46.6472,-90.7359,0a
46.6469,-90.749,0a
46.6379,-90.7485,0a
46.6376,-90.7616,0a
46.6286,-90.7611,0a
46.6283,-90.7742,0a
46.6193,-90.7737,0a
46.619,-90.7868,0a
46.6186,-90.7999,0a
46.6183,-90.813,0a
46.6093,-90.8125,0a
46.6089,-90.8256,0a
46.6086,-90.8387,0a
46.6083,-90.8518,0a
46.5993,-90.8513,0a
46.5989,-90.8644,0a
46.5986,-90.8775,0a
46.5896,-90.877,0a
46.5893,-90.8901,0a
46.5803,-90.8895,0a
46.5799,-90.9026,0a
46.5796,-90.9157,0a
46.5792,-90.9288,0a
46.5882,-90.9293,0a
46.5879,-90.9424,0a
46.5968,-90.9429,0a
46.5972,-90.9298,0a
46.6062,-90.9303,0a
46.6065,-90.9172,0a
46.6155,-90.9178,0a
46.6245,-90.9183,0a
46.6335,-90.9188,0a
46.6425,-90.9193,0a
46.6428,-90.9062,0a
46.6432,-90.8931,0a
46.6522,-90.8936,0a
46.6525,-90.8805,0a
46.6615,-90.881,0a
46.6619,-90.8679,0a
46.6622,-90.8548,0a
46.6712,-90.8553,0a
46.6802,-90.8558,0a
46.6805,-90.8427,0a
46.6895,-90.8432,0a
46.6985,-90.8437,0a
46.6982,-90.8568,0a
46.7071,-90.8573,0a
46.7161,-90.8578,0a
46.7158,-90.8709,0a
46.7248,-90.8714,0a
46.7338,-90.8719,0a
46.7334,-90.885,0a
46.7424,-90.8855,0a
46.7428,-90.8724,0a
46.7517,-90.8729,0a
46.7521,-90.8598,0a
46.7611,-90.8603,0a
46.7701,-90.8608,0a
46.7791,-90.8613,0a
46.7794,-90.8482,0a
46.7797,-90.835,0a
46.7801,-90.8219,0a
46.7891,-90.8224,0a
46.7894,-90.8093,0a
46.7984,-90.8098,0a
46.8074,-90.8102,0a
46.8077,-90.7971,0a
46.8167,-90.7976,0a
46.8171,-90.7845,0a
46.826,-90.7849,0a
46.835,-90.7854,0a
46.844,-90.7859,0a
46.853,-90.7864,0a
46.8534,-90.7733,0a
46.8623,-90.7738,0a
46.8713,-90.7742,0a
46.8803,-90.7747,0a
46.8807,-90.7616,0a
46.881,-90.7484,0a
46.89,-90.7489,0a
46.8896,-90.7621,0a
46.8986,-90.7626,0a
46.8983,-90.7757,0a
46.9073,-90.7762,0a
46.9163,-90.7767,0a
46.9159,-90.7899,0a
46.9249,-90.7904,0a
46.9246,-90.8035,0a
46.9243,-90.8167,0a
46.9239,-90.8299,0a
46.9329,-90.8304,0a
46.9332,-90.8172,0a
46.9422,-90.8177,0a
46.9419,-90.8309,0a
46.9509,-90.8314,0a
46.9505,-90.8446,0a
46.9502,-90.8577,0a
46.9498,-90.8709,0a
46.9409,-90.8704,0a
46.9405,-90.8836,0a
46.9402,-90.8967,0a
46.9398,-90.9099,0a
46.9308,-90.9094,0a
46.9305,-90.9226,0a
46.9301,-90.9357,0a
46.9298,-90.9489,0a
46.9294,-90.9621,0a
46.9291,-90.9753,0a
46.9201,-90.9747,0a
46.9197,-90.9879,0a
46.9107,-90.9874,0a
46.9104,-91.0005,0a
46.91,-91.0137,0a
46.901,-91.0132,0a
46.9006,-91.0263,0a
46.9003,-91.0395,0a
46.8913,-91.039,0a
46.8823,-91.0384,0a
46.8819,-91.0516,0a
46.873,-91.0511,0a
46.8726,-91.0642,0a
46.8722,-91.0774,0a
46.8718,-91.0905,0a
46.8629,-91.09,0a
46.8625,-91.1031,0a
46.8535,-91.1026,0a
46.8531,-91.1157,0a
46.8528,-91.1289,0a
46.8524,-91.142,0a
46.8614,-91.1426,0a
46.861,-91.1557,0a
46.852,-91.1552,0a
46.843,-91.1546,0a
46.8426,-91.1678,0a
46.8423,-91.1809,0a
46.8419,-91.1941,0a
46.8509,-91.1946,0a
46.8598,-91.1952,0a
46.8688,-91.1958,0a
46.8684,-91.2089,0a
46.8595,-91.2084,0a
46.8591,-91.2215,0a
46.8501,-91.2209,0a
46.8497,-91.2341,0a
46.8493,-91.2472,0a
46.8403,-91.2467,0a
46.8313,-91.2461,0a
46.831,-91.2593,0a
46.8306,-91.2724,0a
46.8216,-91.2718,0a
46.8212,-91.285,0a
46.8208,-91.2981,0a
46.8204,-91.3112,0a
46.8114,-91.3107,0a
46.811,-91.3238,0a
46.8106,-91.3369,0a
46.8102,-91.3501,0a
46.8012,-91.3495,0a
46.8008,-91.3626,0a
46.7918,-91.3621,0a
46.7914,-91.3752,0a
46.7825,-91.3746,0a
46.7821,-91.3877,0a
46.7731,-91.3871,0a
