lat,long,subbasin
43.9065,-78.466,0a
43.9067,-78.4535,0a
43.9068,-78.441,0a
43.907,-78.4284,0a
43.9072,-78.4159,0a
43.9073,-78.4033,0a
43.9075,-78.3908,0a
43.9165,-78.391,0a
43.9167,-78.3785,0a
43.9169,-78.366,0a
43.9259,-78.3662,0a
43.9261,-78.3536,0a
43.9262,-78.3411,0a
43.9264,-78.3286,0a
43.9265,-78.316,0a
43.9356,-78.3162,0a
43.9357,-78.3037,0a
43.9359,-78.2911,0a
43.936,-78.2786,0a
43.9362,-78.2661,0a
43.9452,-78.2663,0a
43.9542,-78.2665,0a
43.9544,-78.2539,0a
43.9545,-78.2414,0a
43.9547,-78.2288,0a
43.9548,-78.2163,0a
43.955,-78.2037,0a
43.9551,-78.1912,0a
43.9552,-78.1786,0a
43.9554,-78.1661,0a
43.9555,-78.1535,0a
43.9557,-78.141,0a
43.9558,-78.1284,0a
43.9559,-78.1159,0a
43.9561,-78.1033,0a
43.9562,-78.0908,0a
43.9563,-78.0782,0a
43.9565,-78.0657,0a
43.9566,-78.0531,0a
43.9567,-78.0406,0a
43.9568,-78.028,0a
43.9569,-78.0155,0a
43.9571,-78.0029,0a
43.9572,-77.9904,0a
43.9662,-77.9906,0a
43.9663,-77.978,0a
43.9754,-77.9782,0a
43.9755,-77.9656,0a
43.9756,-77.9531,0a
43.9757,-77.9405,0a
43.9758,-77.928,0a
43.9759,-77.9154,0a
43.9761,-77.9028,0a
43.9762,-77.8903,0a
43.9763,-77.8777,0a
43.9764,-77.8652,0a
43.9765,-77.8526,0a
43.9855,-77.8528,0a
43.9854,-77.8653,0a
43.9944,-77.8655,0a
43.9946,-77.8529,0a
43.9947,-77.8404,0a
43.9948,-77.8278,0a
44.0038,-77.8279,0a
44.0039,-77.8154,0a
44.004,-77.8028,0a
44.0041,-77.7903,0a
44.0042,-77.7777,0a
44.0132,-77.7778,0a
44.0133,-77.7653,0a
44.0134,-77.7527,0a
44.0135,-77.7402,0a
44.0045,-77.74,0a
44.0046,-77.7275,0a
43.9955,-77.7273,0a
43.9865,-77.7272,0a
43.9866,-77.7147,0a
43.9867,-77.7021,0a
43.9868,-77.6896,0a
43.9868,-77.677,0a
43.9869,-77.6644,0a
43.996,-77.6646,0a
43.9959,-77.6771,0a
43.9958,-77.6897,0a
44.0048,-77.6898,0a
44.0047,-77.7024,0a
44.0047,-77.7149,0a
44.0137,-77.715,0a
44.0136,-77.7276,0a
44.0226,-77.7277,0a
44.0227,-77.7152,0a
44.0228,-77.7026,0a
44.0318,-77.7027,0a
44.0319,-77.6902,0a
44.032,-77.6776,0a
44.023,-77.6775,0a
44.0139,-77.6773,0a
44.014,-77.6648,0a
44.0231,-77.6649,0a
44.0231,-77.6523,0a
44.0232,-77.6398,0a
44.0233,-77.6272,0a
44.0234,-77.6146,0a
44.0324,-77.6148,0a
44.0325,-77.6022,0a
44.0326,-77.5896,0a
44.0327,-77.5771,0a
44.0236,-77.577,0a
44.0146,-77.5769,0a
44.0056,-77.5767,0a
44.0056,-77.5642,0a
44.0057,-77.5516,0a
44.0058,-77.5391,0a
44.0058,-77.5265,0a
43.9968,-77.5264,0a
43.9969,-77.5139,0a
43.9878,-77.5138,0a
43.9878,-77.5263,0a
43.9877,-77.5389,0a
43.9876,-77.5514,0a
43.9876,-77.564,0a
43.9785,-77.5639,0a
43.9786,-77.5513,0a
43.9696,-77.5512,0a
43.9696,-77.5387,0a
43.9697,-77.5261,0a
43.9607,-77.526,0a
43.9607,-77.5135,0a
43.9517,-77.5134,0a
43.9427,-77.5133,0a
43.9427,-77.5007,0a
43.9428,-77.4882,0a
43.9338,-77.4881,0a
43.9338,-77.4756,0a
43.9248,-77.4755,0a
43.9249,-77.4629,0a
43.9249,-77.4504,0a
43.925,-77.4378,0a
43.925,-77.4253,0a
43.9251,-77.4128,0a
43.9341,-77.4128,0a
43.9342,-77.4003,0a
43.9342,-77.3877,0a
43.9343,-77.3752,0a
43.9433,-77.3753,0a
43.9434,-77.3627,0a
43.9434,-77.3502,0a
43.9435,-77.3376,0a
43.9525,-77.3377,0a
43.9526,-77.3251,0a
43.9435,-77.3251,0a
43.9436,-77.3125,0a
43.9345,-77.3125,0a
43.9346,-77.2999,0a
43.9255,-77.2999,0a
43.9256,-77.2873,0a
43.9165,-77.2873,0a
43.9075,-77.2872,0a
43.9076,-77.2747,0a
43.8985,-77.2746,0a
43.8986,-77.2621,0a
43.8986,-77.2495,0a
43.8986,-77.237,0a
43.8987,-77.2245,0a
43.8987,-77.2119,0a
43.8897,-77.2119,0a
43.8806,-77.2118,0a
43.8716,-77.2118,0a
43.8716,-77.2243,0a
43.8625,-77.2243,0a
43.8535,-77.2242,0a
43.8535,-77.2117,0a
43.8536,-77.1992,0a
43.8626,-77.1992,0a
43.8626,-77.1867,0a
43.8627,-77.1741,0a
43.8717,-77.1742,0a
43.8717,-77.1616,0a
43.8627,-77.1616,0a
43.8627,-77.1491,0a
43.8537,-77.149,0a
43.8447,-77.149,0a
43.8447,-77.1365,0a
43.8447,-77.1239,0a
43.8447,-77.1114,0a
43.8538,-77.1115,0a
43.8538,-77.0989,0a
43.8628,-77.099,0a
43.8628,-77.0864,0a
43.8629,-77.0739,0a
43.8719,-77.0739,0a
43.8719,-77.0614,0a
43.8719,-77.0489,0a
43.881,-77.0489,0a
43.881,-77.0363,0a
43.89,-77.0364,0a
43.89,-77.0238,0a
43.89,-77.0113,0a
43.8901,-76.9988,0a
43.8901,-76.9862,0a
43.8991,-76.9862,0a
43.8991,-76.9737,0a
43.8991,-76.9612,0a
43.9082,-76.9612,0a
43.9082,-76.9486,0a
43.9082,-76.9361,0a
43.9172,-76.9361,0a
43.9172,-76.9235,0a
43.9172,-76.911,0a
43.9172,-76.8985,0a
43.9172,-76.8859,0a
43.9262,-76.8859,0a
43.9262,-76.8734,0a
43.9262,-76.8608,0a
43.9262,-76.8483,0a
43.9353,-76.8483,0a
43.9443,-76.8483,0a
43.9443,-76.8608,0a
43.9443,-76.8734,0a
43.9443,-76.8859,0a
43.9353,-76.8859,0a
43.9353,-76.8985,0a
43.9353,-76.911,0a
43.9353,-76.9236,0a
43.9353,-76.9361,0a
43.9353,-76.9486,0a
43.9353,-76.9612,0a
43.9352,-76.9737,0a
43.9352,-76.9863,0a
43.9443,-76.9863,0a
43.9443,-76.9988,0a
43.9352,-76.9988,0a
43.9262,-76.9988,0a
43.9262,-77.0114,0a
43.9171,-77.0113,0a
43.9171,-77.0239,0a
43.9171,-77.0364,0a
43.9262,-77.0364,0a
43.9262,-77.0239,0a
43.9352,-77.0239,0a
43.9442,-77.0239,0a
43.9533,-77.024,0a
43.9533,-77.0114,0a
43.9623,-77.0114,0a
43.9623,-76.9989,0a
43.9714,-76.9989,0a
43.9804,-76.9989,0a
43.9804,-77.0115,0a
43.9894,-77.0115,0a
43.9985,-77.0115,0a
43.9985,-76.9989,0a
43.9985,-76.9864,0a
43.9985,-76.9738,0a
44.0075,-76.9738,0a
44.0075,-76.9613,0a
44.0166,-76.9613,0a
44.0256,-76.9613,0a
44.0256,-76.9487,0a
44.0256,-76.9362,0a
44.0256,-76.9236,0a
44.0256,-76.911,0a
44.0347,-76.911,0a
44.0347,-76.8985,0a
44.0347,-76.8859,0a
44.0437,-76.8859,0a
44.0527,-76.8859,0a
44.0618,-76.8859,0a
44.0618,-76.8733,0a
44.0708,-76.8733,0a
44.0708,-76.8607,0a
44.0798,-76.8607,0a
44.0798,-76.8482,0a
44.0888,-76.8481,0a
44.0888,-76.8356,0a
44.0979,-76.8356,0a
44.0979,-76.823,0a
44.1069,-76.823,0a
44.1069,-76.8355,0a
44.1159,-76.8355,0a
44.116,-76.8481,0a
44.1069,-76.8481,0a
44.1069,-76.8607,0a
44.0979,-76.8607,0a
44.0979,-76.8733,0a
44.0889,-76.8733,0a
44.0889,-76.8859,0a
44.0798,-76.8859,0a
44.0798,-76.8985,0a
44.0798,-76.911,0a
44.0708,-76.911,0a
44.0708,-76.9236,0a
44.0618,-76.9236,0a
44.0618,-76.9362,0a
44.0527,-76.9362,0a
44.0527,-76.9487,0a
44.0527,-76.9613,0a
44.0527,-76.9739,0a
44.0437,-76.9739,0a
44.0437,-76.9864,0a
44.0436,-76.999,0a
44.0346,-76.999,0a
44.0346,-77.0116,0a
44.0436,-77.0116,0a
44.0436,-77.0241,0a
44.0436,-77.0367,0a
44.0436,-77.0493,0a
44.0436,-77.0619,0a
44.0436,-77.0744,0a
44.0435,-77.087,0a
44.0435,-77.0996,0a
44.0345,-77.0995,0a
44.0345,-77.1121,0a
44.0254,-77.1121,0a
44.0254,-77.1246,0a
44.0344,-77.1247,0a
44.0435,-77.1247,0a
44.0435,-77.1121,0a
44.0525,-77.1122,0a
44.0525,-77.0996,0a
44.0616,-77.0996,0a
44.0706,-77.0997,0a
44.0706,-77.0871,0a
44.0797,-77.0871,0a
44.0797,-77.0745,0a
44.0887,-77.0746,0a
44.0978,-77.0746,0a
44.1068,-77.0746,0a
44.1068,-77.062,0a
44.1158,-77.0621,0a
44.1249,-77.0621,0a
44.1339,-77.0621,0a
44.1339,-77.0495,0a
44.143,-77.0495,0a
44.152,-77.0496,0a
44.161,-77.0496,0a
44.1701,-77.0496,0a
44.1701,-77.0622,0a
44.17,-77.0748,0a
44.161,-77.0748,0a
44.161,-77.0874,0a
44.161,-77.1,0a
44.1519,-77.0999,0a
44.1519,-77.1125,0a
44.1519,-77.1251,0a
44.1519,-77.1377,0a
44.1518,-77.1503,0a
44.1518,-77.1629,0a
44.1428,-77.1628,0a
44.1337,-77.1628,0a
44.1337,-77.1754,0a
44.1427,-77.1754,0a
44.1427,-77.188,0a
44.1427,-77.2006,0a
44.1426,-77.2132,0a
44.1336,-77.2132,0a
44.1336,-77.2257,0a
44.1335,-77.2383,0a
44.1245,-77.2383,0a
44.1245,-77.2509,0a
44.1244,-77.2635,0a
44.1154,-77.2634,0a
44.1064,-77.2633,0a
44.0973,-77.2633,0a
44.0974,-77.2507,0a
44.0974,-77.2381,0a
44.0974,-77.2255,0a
44.0884,-77.2255,0a
44.0884,-77.2381,0a
44.0883,-77.2507,0a
44.0883,-77.2632,0a
44.0882,-77.2758,0a
44.0882,-77.2884,0a
44.0882,-77.301,0a
44.0972,-77.301,0a
44.0972,-77.2884,0a
44.1063,-77.2885,0a
44.1062,-77.3011,0a
44.1153,-77.3011,0a
44.1153,-77.2886,0a
44.1243,-77.2886,0a
44.1334,-77.2887,0a
44.1424,-77.2887,0a
44.1424,-77.3013,0a
44.1423,-77.3139,0a
44.1423,-77.3265,0a
44.1422,-77.3391,0a
44.1332,-77.339,0a
44.1331,-77.3516,0a
44.1331,-77.3642,0a
44.1421,-77.3643,0a
44.1421,-77.3769,0a
44.133,-77.3768,0a
44.133,-77.3894,0a
44.124,-77.3893,0a
44.1239,-77.4019,0a
44.1238,-77.4145,0a
44.1238,-77.4271,0a
44.1148,-77.427,0a
44.1147,-77.4396,0a
44.1146,-77.4522,0a
